,UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
8,MCO,185.72,*,MCO180817C00105000,,call,2018-08-17,2018-07-26,105.0,45.3,79.3,82.35,0,5,5
14,MCO,185.72,*,MCO180817C00120000,,call,2018-08-17,2018-07-26,120.0,45.15,63.55,67.9,0,0,0
24,MCO,185.72,*,MCO180817C00145000,,call,2018-08-17,2018-07-26,145.0,23.86,38.65,42.5,0,1,1
26,MCO,185.72,*,MCO180817C00150000,,call,2018-08-17,2018-07-26,150.0,37.5,34.85,37.55,0,22,22
28,MCO,185.72,*,MCO180817C00155000,,call,2018-08-17,2018-07-26,155.0,28.0,29.9,32.65,0,36,36
30,MCO,185.72,*,MCO180817C00160000,,call,2018-08-17,2018-07-26,160.0,12.6,24.95,27.75,0,29,29
32,MCO,185.72,*,MCO180817C00165000,,call,2018-08-17,2018-07-26,165.0,16.0,20.05,22.9,0,50,50
34,MCO,185.72,*,MCO180817C00170000,,call,2018-08-17,2018-07-26,170.0,16.96,15.35,18.15,0,126,126
36,MCO,185.72,*,MCO180817C00175000,,call,2018-08-17,2018-07-26,175.0,11.01,11.45,11.95,1,354,353
38,MCO,185.72,*,MCO180817C00180000,,call,2018-08-17,2018-07-26,180.0,7.45,7.45,7.8,21,124,134
40,MCO,185.72,*,MCO180817C00185000,,call,2018-08-17,2018-07-26,185.0,4.45,4.2,4.4,46,176,183
42,MCO,185.72,*,MCO180817C00190000,,call,2018-08-17,2018-07-26,190.0,1.88,1.96,2.1,36,66,70
44,MCO,185.72,*,MCO180817C00195000,,call,2018-08-17,2018-07-26,195.0,0.86,0.77,0.85,23,357,367
46,MCO,185.72,*,MCO180817C00200000,,call,2018-08-17,2018-07-26,200.0,0.32,0.25,0.31,17,11,18
62,MCO,185.72,*,MCO180921C00175000,,call,2018-09-21,2018-07-26,175.0,12.7,12.55,14.4,3,0,3
66,MCO,185.72,*,MCO180921C00185000,,call,2018-09-21,2018-07-26,185.0,5.8,5.9,6.05,13,3,12
68,MCO,185.72,*,MCO180921C00190000,,call,2018-09-21,2018-07-26,190.0,3.5,3.4,3.65,1,18,18
70,MCO,185.72,*,MCO180921C00195000,,call,2018-09-21,2018-07-26,195.0,2.18,1.89,2.04,0,3,3
100,MCO,185.72,*,MCO181116C00120000,,call,2018-11-16,2018-07-26,120.0,40.66,64.35,68.85,0,1,1
104,MCO,185.72,*,MCO181116C00130000,,call,2018-11-16,2018-07-26,130.0,42.8,55.45,58.85,0,9,9
110,MCO,185.72,*,MCO181116C00145000,,call,2018-11-16,2018-07-26,145.0,29.45,41.45,44.4,0,22,22
112,MCO,185.72,*,MCO181116C00150000,,call,2018-11-16,2018-07-26,150.0,30.71,36.5,39.7,0,16,16
114,MCO,185.72,*,MCO181116C00155000,,call,2018-11-16,2018-07-26,155.0,21.2,31.4,34.3,0,9,9
116,MCO,185.72,*,MCO181116C00160000,,call,2018-11-16,2018-07-26,160.0,11.73,27.45,28.75,0,17,17
118,MCO,185.72,*,MCO181116C00165000,,call,2018-11-16,2018-07-26,165.0,15.35,23.0,24.4,0,37,37
120,MCO,185.72,*,MCO181116C00170000,,call,2018-11-16,2018-07-26,170.0,19.0,18.7,20.05,0,170,170
122,MCO,185.72,*,MCO181116C00175000,,call,2018-11-16,2018-07-26,175.0,13.43,15.2,16.15,0,10,10
124,MCO,185.72,*,MCO181116C00180000,,call,2018-11-16,2018-07-26,180.0,13.2,11.8,12.55,0,422,422
126,MCO,185.72,*,MCO181116C00185000,,call,2018-11-16,2018-07-26,185.0,7.5,8.7,9.5,0,176,176
128,MCO,185.72,*,MCO181116C00190000,,call,2018-11-16,2018-07-26,190.0,7.2,6.4,7.05,0,112,112
130,MCO,185.72,*,MCO181116C00195000,,call,2018-11-16,2018-07-26,195.0,4.45,4.2,4.85,0,44,44
132,MCO,185.72,*,MCO181116C00200000,,call,2018-11-16,2018-07-26,200.0,2.72,2.76,3.35,1,15,15
134,MCO,185.72,*,MCO181116C00210000,,call,2018-11-16,2018-07-26,210.0,1.15,0.98,1.45,0,4,4
136,MCO,185.72,*,MCO181116C00220000,,call,2018-11-16,2018-07-26,220.0,0.49,0.31,0.61,0,20,20
160,MCO,185.72,*,MCO190215C00150000,,call,2019-02-15,2018-07-26,150.0,39.0,38.1,41.45,0,10,10
162,MCO,185.72,*,MCO190215C00155000,,call,2019-02-15,2018-07-26,155.0,23.2,32.45,37.0,0,1,1
166,MCO,185.72,*,MCO190215C00165000,,call,2019-02-15,2018-07-26,165.0,17.96,25.35,28.4,0,20,20
168,MCO,185.72,*,MCO190215C00170000,,call,2019-02-15,2018-07-26,170.0,14.39,20.6,24.5,0,3,3
170,MCO,185.72,*,MCO190215C00175000,,call,2019-02-15,2018-07-26,175.0,11.2,18.15,19.8,0,1,1
172,MCO,185.72,*,MCO190215C00180000,,call,2019-02-15,2018-07-26,180.0,9.63,14.75,16.3,0,8,8
174,MCO,185.72,*,MCO190215C00185000,,call,2019-02-15,2018-07-26,185.0,11.75,11.7,13.4,0,8,8
176,MCO,185.72,*,MCO190215C00190000,,call,2019-02-15,2018-07-26,190.0,10.05,9.1,10.6,0,15,15
178,MCO,185.72,*,MCO190215C00195000,,call,2019-02-15,2018-07-26,195.0,7.72,6.85,8.35,0,157,157
180,MCO,185.72,*,MCO190215C00200000,,call,2019-02-15,2018-07-26,200.0,5.75,5.2,6.2,5,164,169
182,MCO,185.72,*,MCO190215C00210000,,call,2019-02-15,2018-07-26,210.0,1.19,2.54,4.0,0,9,9
184,MCO,185.72,*,MCO190215C00220000,,call,2019-02-15,2018-07-26,220.0,1.55,1.16,1.92,9,20,20
186,MCO,185.72,*,MCO190215C00230000,,call,2019-02-15,2018-07-26,230.0,0.75,0.49,1.12,1,10,11
188,MCO,185.72,*,MCO190215C00240000,,call,2019-02-15,2018-07-26,240.0,0.4,0.19,1.26,1,0,1
200,NEE,168.16,*,NEE180817C00140000,,call,2018-08-17,2018-07-26,140.0,28.3,26.0,30.2,0,24,24
204,NEE,168.16,*,NEE180817C00150000,,call,2018-08-17,2018-07-26,150.0,16.03,16.4,19.6,0,6,6
208,NEE,168.16,*,NEE180817C00160000,,call,2018-08-17,2018-07-26,160.0,8.56,8.0,9.6,0,75,75
210,NEE,168.16,*,NEE180817C00165000,,call,2018-08-17,2018-07-26,165.0,4.4,4.5,4.9,96,855,879
212,NEE,168.16,*,NEE180817C00170000,,call,2018-08-17,2018-07-26,170.0,1.85,1.7,1.95,196,2830,2853
214,NEE,168.16,*,NEE180817C00175000,,call,2018-08-17,2018-07-26,175.0,0.5,0.4,0.65,14,1705,1468
216,NEE,168.16,*,NEE180817C00180000,,call,2018-08-17,2018-07-26,180.0,0.1,0.0,0.25,10,104,94
218,NEE,168.16,*,NEE180817C00185000,,call,2018-08-17,2018-07-26,185.0,0.01,0.0,0.1,1,10,9
220,NEE,168.16,*,NEE180817C00190000,,call,2018-08-17,2018-07-26,190.0,0.07,0.0,0.05,0,5,5
238,NEE,168.16,*,NEE180921C00130000,,call,2018-09-21,2018-07-26,130.0,34.0,36.0,40.5,0,0,0
240,NEE,168.16,*,NEE180921C00135000,,call,2018-09-21,2018-07-26,135.0,29.55,31.1,35.2,0,2,2
242,NEE,168.16,*,NEE180921C00140000,,call,2018-09-21,2018-07-26,140.0,31.38,26.3,30.2,0,8,8
244,NEE,168.16,*,NEE180921C00145000,,call,2018-09-21,2018-07-26,145.0,18.1,21.4,25.5,0,83,83
246,NEE,168.16,*,NEE180921C00150000,,call,2018-09-21,2018-07-26,150.0,19.94,17.6,19.4,0,129,129
248,NEE,168.16,*,NEE180921C00155000,,call,2018-09-21,2018-07-26,155.0,15.5,12.9,14.9,0,252,252
250,NEE,168.16,*,NEE180921C00160000,,call,2018-09-21,2018-07-26,160.0,9.0,9.4,9.8,1,680,680
252,NEE,168.16,*,NEE180921C00165000,,call,2018-09-21,2018-07-26,165.0,5.9,5.5,6.0,10,673,673
254,NEE,168.16,*,NEE180921C00170000,,call,2018-09-21,2018-07-26,170.0,2.85,2.9,3.2,199,7184,7220
256,NEE,168.16,*,NEE180921C00175000,,call,2018-09-21,2018-07-26,175.0,1.1,1.2,1.35,222,6018,6064
258,NEE,168.16,*,NEE180921C00180000,,call,2018-09-21,2018-07-26,180.0,0.33,0.35,0.6,0,569,569
260,NEE,168.16,*,NEE180921C00185000,,call,2018-09-21,2018-07-26,185.0,0.14,0.0,0.3,0,132,132
262,NEE,168.16,*,NEE180921C00190000,,call,2018-09-21,2018-07-26,190.0,0.3,0.0,0.2,0,1,1
264,NEE,168.16,*,NEE180921C00195000,,call,2018-09-21,2018-07-26,195.0,0.05,0.0,0.1,0,0,0
270,NEE,168.16,*,NEE181221C00125000,,call,2018-12-21,2018-07-26,125.0,34.4,43.1,43.9,0,20,20
276,NEE,168.16,*,NEE181221C00140000,,call,2018-12-21,2018-07-26,140.0,24.49,28.6,29.3,0,4,4
280,NEE,168.16,*,NEE181221C00150000,,call,2018-12-21,2018-07-26,150.0,19.4,19.3,20.1,0,26,26
282,NEE,168.16,*,NEE181221C00155000,,call,2018-12-21,2018-07-26,155.0,16.07,15.4,15.8,0,22,22
284,NEE,168.16,*,NEE181221C00160000,,call,2018-12-21,2018-07-26,160.0,11.61,11.5,11.9,0,29,29
286,NEE,168.16,*,NEE181221C00165000,,call,2018-12-21,2018-07-26,165.0,7.67,8.2,8.5,0,125,125
288,NEE,168.16,*,NEE181221C00170000,,call,2018-12-21,2018-07-26,170.0,5.48,5.4,5.8,0,367,367
290,NEE,168.16,*,NEE181221C00175000,,call,2018-12-21,2018-07-26,175.0,3.37,3.3,3.6,0,111,111
292,NEE,168.16,*,NEE181221C00180000,,call,2018-12-21,2018-07-26,180.0,1.89,1.8,2.1,29,714,714
294,NEE,168.16,*,NEE181221C00185000,,call,2018-12-21,2018-07-26,185.0,0.95,0.9,1.15,0,94,94
296,NEE,168.16,*,NEE181221C00190000,,call,2018-12-21,2018-07-26,190.0,0.72,0.4,0.65,0,4,4
300,NEE,168.16,*,NEE181221C00200000,,call,2018-12-21,2018-07-26,200.0,0.15,0.0,0.15,0,2,2
302,NEE,168.16,*,NEE181221C00210000,,call,2018-12-21,2018-07-26,210.0,0.05,0.0,0.1,0,14,14
316,NEE,168.16,*,NEE190118C00120000,,call,2019-01-18,2018-07-26,120.0,41.0,48.0,50.0,0,0,0
318,NEE,168.16,*,NEE190118C00125000,,call,2019-01-18,2018-07-26,125.0,25.7,42.1,46.1,0,5,5
320,NEE,168.16,*,NEE190118C00130000,,call,2019-01-18,2018-07-26,130.0,33.29,37.9,39.6,0,193,193
322,NEE,168.16,*,NEE190118C00135000,,call,2019-01-18,2018-07-26,135.0,25.63,33.1,34.3,0,203,203
324,NEE,168.16,*,NEE190118C00140000,,call,2019-01-18,2018-07-26,140.0,26.4,28.9,29.7,0,21,21
326,NEE,168.16,*,NEE190118C00145000,,call,2019-01-18,2018-07-26,145.0,26.3,24.3,25.0,0,13,13
328,NEE,168.16,*,NEE190118C00150000,,call,2019-01-18,2018-07-26,150.0,20.0,19.6,20.5,0,727,727
330,NEE,168.16,*,NEE190118C00155000,,call,2019-01-18,2018-07-26,155.0,16.9,15.8,16.4,0,531,531
332,NEE,168.16,*,NEE190118C00160000,,call,2019-01-18,2018-07-26,160.0,13.4,11.8,12.7,0,182,182
334,NEE,168.16,*,NEE190118C00165000,,call,2019-01-18,2018-07-26,165.0,8.52,8.8,9.8,0,392,392
336,NEE,168.16,*,NEE190118C00170000,,call,2019-01-18,2018-07-26,170.0,6.06,6.0,6.6,4,443,445
338,NEE,168.16,*,NEE190118C00175000,,call,2019-01-18,2018-07-26,175.0,4.2,3.8,4.4,1,893,894
340,NEE,168.16,*,NEE190118C00180000,,call,2019-01-18,2018-07-26,180.0,2.1,2.3,2.7,4,691,695
342,NEE,168.16,*,NEE190118C00185000,,call,2019-01-18,2018-07-26,185.0,1.35,1.25,1.6,0,311,311
344,NEE,168.16,*,NEE190118C00190000,,call,2019-01-18,2018-07-26,190.0,1.3,0.6,0.85,0,204,204
346,NEE,168.16,*,NEE190118C00195000,,call,2019-01-18,2018-07-26,195.0,0.35,0.25,0.5,3,78,78
348,NEE,168.16,*,NEE190118C00200000,,call,2019-01-18,2018-07-26,200.0,0.1,0.1,0.25,0,111,111
372,NEE,168.16,*,NEE190315C00180000,,call,2019-03-15,2018-07-26,180.0,2.97,3.2,3.5,0,4,4
394,NEE,168.16,*,NEE190621C00115000,,call,2019-06-21,2018-07-26,115.0,45.33,53.0,54.4,0,34,34
410,NEE,168.16,*,NEE190621C00155000,,call,2019-06-21,2018-07-26,155.0,19.9,18.0,18.6,0,60,60
412,NEE,168.16,*,NEE190621C00160000,,call,2019-06-21,2018-07-26,160.0,15.55,14.6,15.0,0,34,34
414,NEE,168.16,*,NEE190621C00165000,,call,2019-06-21,2018-07-26,165.0,12.04,11.5,11.9,0,5,5
416,NEE,168.16,*,NEE190621C00170000,,call,2019-06-21,2018-07-26,170.0,8.35,8.8,9.1,0,16,16
418,NEE,168.16,*,NEE190621C00175000,,call,2019-06-21,2018-07-26,175.0,7.5,6.5,6.8,0,38,38
420,NEE,168.16,*,NEE190621C00180000,,call,2019-06-21,2018-07-26,180.0,3.95,4.6,4.9,0,2,2
422,NEE,168.16,*,NEE190621C00185000,,call,2019-06-21,2018-07-26,185.0,3.93,3.1,3.4,0,71,71
424,NEE,168.16,*,NEE190621C00190000,,call,2019-06-21,2018-07-26,190.0,2.65,2.05,2.25,0,100,100
428,NEE,168.16,*,NEE190621C00200000,,call,2019-06-21,2018-07-26,200.0,1.0,0.7,0.9,0,22,22
442,NEE,168.16,*,NEE200117C00110000,,call,2020-01-17,2018-07-26,110.0,53.0,56.3,60.9,0,20,20
446,NEE,168.16,*,NEE200117C00120000,,call,2020-01-17,2018-07-26,120.0,38.7,49.0,49.9,0,25,25
448,NEE,168.16,*,NEE200117C00125000,,call,2020-01-17,2018-07-26,125.0,41.37,44.2,45.1,0,8,8
452,NEE,168.16,*,NEE200117C00135000,,call,2020-01-17,2018-07-26,135.0,25.8,35.5,36.9,0,30,30
454,NEE,168.16,*,NEE200117C00140000,,call,2020-01-17,2018-07-26,140.0,24.71,31.6,32.5,0,61,61
458,NEE,168.16,*,NEE200117C00150000,,call,2020-01-17,2018-07-26,150.0,25.0,24.0,24.9,0,82,82
460,NEE,168.16,*,NEE200117C00155000,,call,2020-01-17,2018-07-26,155.0,21.7,20.6,21.3,0,250,250
462,NEE,168.16,*,NEE200117C00160000,,call,2020-01-17,2018-07-26,160.0,15.0,17.5,18.2,0,73,73
464,NEE,168.16,*,NEE200117C00165000,,call,2020-01-17,2018-07-26,165.0,14.93,14.3,15.3,0,100,100
466,NEE,168.16,*,NEE200117C00170000,,call,2020-01-17,2018-07-26,170.0,12.4,12.0,12.7,2,58,60
468,NEE,168.16,*,NEE200117C00175000,,call,2020-01-17,2018-07-26,175.0,9.6,9.6,10.3,0,164,164
470,NEE,168.16,*,NEE200117C00180000,,call,2020-01-17,2018-07-26,180.0,8.25,7.1,8.1,0,187,187
472,NEE,168.16,*,NEE200117C00185000,,call,2020-01-17,2018-07-26,185.0,6.3,5.4,6.3,0,89,89
474,NEE,168.16,*,NEE200117C00190000,,call,2020-01-17,2018-07-26,190.0,3.1,4.5,4.9,0,12,12
476,NEE,168.16,*,NEE200117C00195000,,call,2020-01-17,2018-07-26,195.0,4.0,3.0,3.6,0,5,5
478,NEE,168.16,*,NEE200117C00200000,,call,2020-01-17,2018-07-26,200.0,2.4,2.0,2.9,0,44,44
480,NEE,168.16,*,NEE200117C00210000,,call,2020-01-17,2018-07-26,210.0,1.2,1.15,1.55,0,42,42
484,RF,18.39,*,RF180817C00010000,,call,2018-08-17,2018-07-26,10.0,7.85,8.1,8.65,0,3,3
488,RF,18.39,*,RF180817C00012000,,call,2018-08-17,2018-07-26,12.0,5.8,6.35,6.45,0,41,41
492,RF,18.39,*,RF180817C00014000,,call,2018-08-17,2018-07-26,14.0,3.7,4.4,4.5,0,9,9
494,RF,18.39,*,RF180817C00015000,,call,2018-08-17,2018-07-26,15.0,2.7,3.4,3.5,0,129,129
496,RF,18.39,*,RF180817C00016000,,call,2018-08-17,2018-07-26,16.0,2.52,2.43,2.45,13,328,328
498,RF,18.39,*,RF180817C00017000,,call,2018-08-17,2018-07-26,17.0,1.53,1.47,1.48,20,1991,1979
500,RF,18.39,*,RF180817C00018000,,call,2018-08-17,2018-07-26,18.0,0.67,0.64,0.66,231,9718,9673
502,RF,18.39,*,RF180817C00019000,,call,2018-08-17,2018-07-26,19.0,0.22,0.19,0.2,1288,17751,18571
504,RF,18.39,*,RF180817C00020000,,call,2018-08-17,2018-07-26,20.0,0.05,0.04,0.05,176,29879,29789
506,RF,18.39,*,RF180817C00021000,,call,2018-08-17,2018-07-26,21.0,0.02,0.01,0.02,40,2122,2162
508,RF,18.39,*,RF180817C00022000,,call,2018-08-17,2018-07-26,22.0,0.03,0.0,0.02,0,904,904
510,RF,18.39,*,RF180817C00023000,,call,2018-08-17,2018-07-26,23.0,0.02,0.0,0.02,0,259,259
512,RF,18.39,*,RF180817C00024000,,call,2018-08-17,2018-07-26,24.0,0.02,0.0,0.02,0,180,180
514,RF,18.39,*,RF180817C00025000,,call,2018-08-17,2018-07-26,25.0,0.06,0.0,0.02,0,109,109
518,RF,18.39,*,RF180817C00027000,,call,2018-08-17,2018-07-26,27.0,0.02,0.0,0.02,0,35,35
532,RF,18.39,*,RF180921C00016000,,call,2018-09-21,2018-07-26,16.0,2.39,2.45,2.54,0,2,2
534,RF,18.39,*,RF180921C00017000,,call,2018-09-21,2018-07-26,17.0,1.5,1.54,1.63,0,18,18
536,RF,18.39,*,RF180921C00018000,,call,2018-09-21,2018-07-26,18.0,0.89,0.84,0.86,5,90,95
538,RF,18.39,*,RF180921C00019000,,call,2018-09-21,2018-07-26,19.0,0.41,0.35,0.38,135,769,883
540,RF,18.39,*,RF180921C00020000,,call,2018-09-21,2018-07-26,20.0,0.14,0.14,0.15,53,285,325
560,RF,18.39,*,RF181116C00014000,,call,2018-11-16,2018-07-26,14.0,3.93,4.4,4.6,0,101,101
562,RF,18.39,*,RF181116C00015000,,call,2018-11-16,2018-07-26,15.0,3.6,3.5,3.6,5,10,5
564,RF,18.39,*,RF181116C00016000,,call,2018-11-16,2018-07-26,16.0,2.17,2.59,2.72,0,121,121
566,RF,18.39,*,RF181116C00017000,,call,2018-11-16,2018-07-26,17.0,1.92,1.82,1.85,30,421,391
568,RF,18.39,*,RF181116C00018000,,call,2018-11-16,2018-07-26,18.0,1.17,1.15,1.17,9,690,689
570,RF,18.39,*,RF181116C00019000,,call,2018-11-16,2018-07-26,19.0,0.72,0.66,0.69,100,1052,1052
572,RF,18.39,*,RF181116C00020000,,call,2018-11-16,2018-07-26,20.0,0.31,0.35,0.38,0,577,577
574,RF,18.39,*,RF181116C00021000,,call,2018-11-16,2018-07-26,21.0,0.19,0.18,0.2,0,596,596
576,RF,18.39,*,RF181116C00022000,,call,2018-11-16,2018-07-26,22.0,0.13,0.07,0.11,0,368,368
578,RF,18.39,*,RF181116C00023000,,call,2018-11-16,2018-07-26,23.0,0.03,0.0,0.06,0,353,353
580,RF,18.39,*,RF181116C00024000,,call,2018-11-16,2018-07-26,24.0,0.08,0.0,0.05,0,160,160
582,RF,18.39,*,RF181116C00025000,,call,2018-11-16,2018-07-26,25.0,0.03,0.0,0.03,0,26,26
586,RF,18.39,*,RF181116C00027000,,call,2018-11-16,2018-07-26,27.0,0.05,0.0,0.02,0,20,20
588,RF,18.39,*,RF190118C00003000,,call,2019-01-18,2018-07-26,3.0,11.0,13.75,17.15,0,1,1
594,RF,18.39,*,RF190118C00008000,,call,2019-01-18,2018-07-26,8.0,8.9,9.4,11.65,0,143,143
596,RF,18.39,*,RF190118C00010000,,call,2019-01-18,2018-07-26,10.0,8.41,8.3,8.7,0,546,546
600,RF,18.39,*,RF190118C00012000,,call,2019-01-18,2018-07-26,12.0,6.0,6.35,6.7,0,1205,1205
604,RF,18.39,*,RF190118C00014000,,call,2019-01-18,2018-07-26,14.0,4.3,4.45,4.75,0,40,40
606,RF,18.39,*,RF190118C00015000,,call,2019-01-18,2018-07-26,15.0,2.85,3.6,3.8,0,2523,2523
608,RF,18.39,*,RF190118C00016000,,call,2019-01-18,2018-07-26,16.0,2.33,2.76,2.9,0,56,56
610,RF,18.39,*,RF190118C00017000,,call,2019-01-18,2018-07-26,17.0,2.13,1.95,2.16,26,2097,2101
612,RF,18.39,*,RF190118C00018000,,call,2019-01-18,2018-07-26,18.0,1.45,1.32,1.47,10,565,575
614,RF,18.39,*,RF190118C00019000,,call,2019-01-18,2018-07-26,19.0,0.94,0.84,0.95,10,574,580
616,RF,18.39,*,RF190118C00020000,,call,2019-01-18,2018-07-26,20.0,0.57,0.54,0.56,10,3276,3286
618,RF,18.39,*,RF190118C00021000,,call,2019-01-18,2018-07-26,21.0,0.29,0.27,0.34,0,118,118
620,RF,18.39,*,RF190118C00022000,,call,2019-01-18,2018-07-26,22.0,0.19,0.16,0.2,0,841,841
622,RF,18.39,*,RF190118C00023000,,call,2019-01-18,2018-07-26,23.0,0.08,0.09,0.16,0,75,75
624,RF,18.39,*,RF190118C00024000,,call,2019-01-18,2018-07-26,24.0,0.33,0.0,0.08,0,34,34
626,RF,18.39,*,RF190118C00025000,,call,2019-01-18,2018-07-26,25.0,0.03,0.0,0.07,0,2044,2044
630,RF,18.39,*,RF190118C00027000,,call,2019-01-18,2018-07-26,27.0,0.05,0.0,0.03,0,135,135
638,RF,18.39,*,RF190215C00013000,,call,2019-02-15,2018-07-26,13.0,5.25,5.4,5.65,0,10,10
640,RF,18.39,*,RF190215C00014000,,call,2019-02-15,2018-07-26,14.0,4.3,4.5,4.75,0,31,31
642,RF,18.39,*,RF190215C00015000,,call,2019-02-15,2018-07-26,15.0,3.5,3.65,3.85,0,22,22
644,RF,18.39,*,RF190215C00016000,,call,2019-02-15,2018-07-26,16.0,2.37,2.84,3.0,0,10,10
646,RF,18.39,*,RF190215C00017000,,call,2019-02-15,2018-07-26,17.0,2.09,2.06,2.19,0,62,62
648,RF,18.39,*,RF190215C00018000,,call,2019-02-15,2018-07-26,18.0,1.44,1.49,1.57,0,38,38
650,RF,18.39,*,RF190215C00019000,,call,2019-02-15,2018-07-26,19.0,0.96,0.99,1.07,0,52,52
652,RF,18.39,*,RF190215C00020000,,call,2019-02-15,2018-07-26,20.0,0.62,0.63,0.7,0,217,217
654,RF,18.39,*,RF190215C00021000,,call,2019-02-15,2018-07-26,21.0,0.39,0.38,0.46,0,16,16
658,RF,18.39,*,RF190215C00023000,,call,2019-02-15,2018-07-26,23.0,0.17,0.12,0.17,20,0,20
662,RF,18.39,*,RF190215C00025000,,call,2019-02-15,2018-07-26,25.0,0.07,0.05,0.07,100,0,100
666,RF,18.39,*,RF190215C00027000,,call,2019-02-15,2018-07-26,27.0,0.02,0.0,0.05,0,0,0
668,RF,18.39,*,RF200117C00002000,,call,2020-01-17,2018-07-26,2.0,14.7,16.25,16.55,0,0,0
672,RF,18.39,*,RF200117C00004000,,call,2020-01-17,2018-07-26,4.0,14.9,14.25,14.55,0,1,1
674,RF,18.39,*,RF200117C00005000,,call,2020-01-17,2018-07-26,5.0,15.0,13.3,13.55,0,1,1
676,RF,18.39,*,RF200117C00008000,,call,2020-01-17,2018-07-26,8.0,11.05,10.1,10.65,0,22,22
678,RF,18.39,*,RF200117C00010000,,call,2020-01-17,2018-07-26,10.0,8.95,8.4,8.7,0,237,237
680,RF,18.39,*,RF200117C00012000,,call,2020-01-17,2018-07-26,12.0,6.6,6.15,6.9,0,473,473
682,RF,18.39,*,RF200117C00015000,,call,2020-01-17,2018-07-26,15.0,4.3,4.3,4.5,200,1246,1242
684,RF,18.39,*,RF200117C00017000,,call,2020-01-17,2018-07-26,17.0,2.6,2.9,3.25,0,918,918
686,RF,18.39,*,RF200117C00020000,,call,2020-01-17,2018-07-26,20.0,1.57,1.57,1.81,0,1578,1578
688,RF,18.39,*,RF200117C00022000,,call,2020-01-17,2018-07-26,22.0,0.84,0.98,1.19,0,385,385
690,RF,18.39,*,RF200117C00025000,,call,2020-01-17,2018-07-26,25.0,0.53,0.47,0.61,0,250,250
692,RF,18.39,*,RF200117C00030000,,call,2020-01-17,2018-07-26,30.0,0.1,0.12,0.21,0,4,4
702,TXN,113.3,*,TXN180727C00095000,,call,2018-07-27,2018-07-26,95.0,17.2,18.2,18.45,0,2,2
718,TXN,113.3,*,TXN180727C00101000,,call,2018-07-27,2018-07-26,101.0,11.6,11.95,12.75,0,4,4
720,TXN,113.3,*,TXN180727C00102000,,call,2018-07-27,2018-07-26,102.0,11.73,10.85,11.6,0,5,5
726,TXN,113.3,*,TXN180727C00105000,,call,2018-07-27,2018-07-26,105.0,7.7,8.2,8.45,0,25,25
728,TXN,113.3,*,TXN180727C00106000,,call,2018-07-27,2018-07-26,106.0,5.95,7.2,7.45,0,11,11
730,TXN,113.3,*,TXN180727C00107000,,call,2018-07-27,2018-07-26,107.0,6.3,6.2,6.45,11,2,9
732,TXN,113.3,*,TXN180727C00108000,,call,2018-07-27,2018-07-26,108.0,5.55,5.2,5.45,8,25,17
734,TXN,113.3,*,TXN180727C00109000,,call,2018-07-27,2018-07-26,109.0,2.8,4.2,4.45,0,72,72
736,TXN,113.3,*,TXN180727C00110000,,call,2018-07-27,2018-07-26,110.0,3.25,3.2,3.4,31,168,168
738,TXN,113.3,*,TXN180727C00111000,,call,2018-07-27,2018-07-26,111.0,2.76,2.3,2.47,22,334,323
740,TXN,113.3,*,TXN180727C00112000,,call,2018-07-27,2018-07-26,112.0,1.52,1.45,1.54,45,357,371
742,TXN,113.3,*,TXN180727C00113000,,call,2018-07-27,2018-07-26,113.0,0.71,0.75,0.8,381,381,435
744,TXN,113.3,*,TXN180727C00114000,,call,2018-07-27,2018-07-26,114.0,0.29,0.29,0.31,575,834,758
746,TXN,113.3,*,TXN180727C00115000,,call,2018-07-27,2018-07-26,115.0,0.09,0.07,0.11,240,1438,1393
748,TXN,113.3,*,TXN180727C00116000,,call,2018-07-27,2018-07-26,116.0,0.02,0.0,0.03,37,612,584
750,TXN,113.3,*,TXN180727C00117000,,call,2018-07-27,2018-07-26,117.0,0.01,0.0,0.04,139,1961,1862
752,TXN,113.3,*,TXN180727C00118000,,call,2018-07-27,2018-07-26,118.0,0.02,0.0,0.02,25,506,494
754,TXN,113.3,*,TXN180727C00119000,,call,2018-07-27,2018-07-26,119.0,0.05,0.0,0.02,26,654,643
756,TXN,113.3,*,TXN180727C00120000,,call,2018-07-27,2018-07-26,120.0,0.01,0.0,0.01,1,370,370
758,TXN,113.3,*,TXN180727C00121000,,call,2018-07-27,2018-07-26,121.0,0.01,0.0,0.02,13,487,484
760,TXN,113.3,*,TXN180727C00122000,,call,2018-07-27,2018-07-26,122.0,0.01,0.0,0.03,0,92,92
762,TXN,113.3,*,TXN180727C00123000,,call,2018-07-27,2018-07-26,123.0,0.01,0.0,0.02,0,371,371
764,TXN,113.3,*,TXN180727C00124000,,call,2018-07-27,2018-07-26,124.0,0.02,0.0,0.01,1,123,123
766,TXN,113.3,*,TXN180727C00125000,,call,2018-07-27,2018-07-26,125.0,0.03,0.0,0.01,0,170,170
768,TXN,113.3,*,TXN180727C00126000,,call,2018-07-27,2018-07-26,126.0,0.04,0.0,0.02,0,6,6
772,TXN,113.3,*,TXN180727C00128000,,call,2018-07-27,2018-07-26,128.0,0.24,0.0,0.02,0,17,17
